sku_id,actual_total,baseline_forecast_total,baseline_wape
SKU006,331,171,87.61329305
SKU008,865,409,80.46242775
SKU017,449,235,89.53229399
SKU018,384,191,88.80208333
SKU019,202,155,70.79207921
SKU020,162,144,74.07407407
SKU027,540,245,95
SKU029,198,145,46.96969697
SKU039,166,142,62.65060241
SKU051,852,697,55.98591549
SKU058,340,254,37.05882353
SKU062,767,579,41.98174707
SKU063,531,426,59.69868173
SKU070,468,378,48.29059829
SKU077,321,253,56.07476636
SKU078,459,223,86.2745098
SKU080,195,96,80.51282051
SKU083,808,376,85.3960396
SKU086,385,340,68.31168831
SKU092,187,155,64.17112299
SKU094,320,226,38.125
SKU098,450,377,62.44444444
