date,sku_id,units_sold,revenue,unit_price,promo_flag,category,subcategory,launch_date,unit_cost,list_price,week,month,season,is_holiday,promo_event,on_hand_units,on_order_units,lead_time_days,reorder_point,forecast_4_week_demand,average_weekly_forecast,available_inventory,lead_time_weeks,lead_time_demand,safety_stock,stockout_threshold,inventory_surplus,stockout_gap,overstock_units,stockout_risk_score,overstock_risk_score,stockout_risk,overstock_risk,action,reorder_units,markdown_units,stockout_value_at_stake,overstock_value_at_stake,value_at_stake
12-12-2025,SKU001,15,100822.95,6721.53,0,Bedding,Bedsheet,27-09-2024,3740.37,6877.76,50,12,Winter,0,,571,0,10,299,440,110,571,1.428571429,157.1428571,299,456.1428571,131,-114.8571429,131,0,29.77272727,Low,Medium,Watch / Volatile,0,131,0,489988.47,0
12-12-2025,SKU002,30,34184.4,1139.48,0,Kitchen,Dinnerware,02-08-2024,572.99,1191.57,50,12,Winter,0,,538,0,10,374,616,154,538,1.428571429,220,374,594,-78,56,0,9.427609428,0,Low,Low,Healthy,56,0,32087.44,0,0
12-12-2025,SKU003,34,147578.7,4340.55,0,Bedding,Comforter,31-05-2024,3359.18,4537.48,50,12,Winter,0,,379,755,15,504,516,129,1134,2.142857143,276.4285714,504,780.4285714,-137,-353.5714286,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU004,32,20272.64,633.52,0,Bedding,Pillow,20-10-2024,303.66,665.92,50,12,Winter,0,,238,919,9,430,684,171,1157,1.285714286,219.8571429,430,649.8571429,-446,-507.1428571,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU005,12,55874.16,4656.18,0,Furniture,Sofa,09-11-2024,2766.36,4671.69,50,12,Winter,0,,22,285,15,191,220,55,307,2.142857143,117.8571429,191,308.8571429,-198,1.857142857,0,0.601295097,0,Low,Low,Healthy,2,0,5532.72,0,0
12-12-2025,SKU006,16,46469.44,2904.34,0,Furniture,Shelf,28-02-2024,2179.35,2924.69,50,12,Winter,0,,386,0,13,248,272,68,386,1.857142857,126.2857143,248,374.2857143,114,-11.71428571,114,0,41.91176471,Low,Medium,Watch / Volatile,0,114,0,248445.9,0
12-12-2025,SKU007,29,139414.6,4807.4,0,Bedding,Comforter,27-09-2024,2443.53,4903.33,50,12,Winter,0,,210,760,8,330,608,152,970,1.142857143,173.7142857,330,503.7142857,-398,-466.2857143,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU008,38,317632.12,8358.74,0,Home Decor,Decorative Item,24-02-2024,4921.19,8464.87,50,12,Winter,0,,315,1061,6,390,748,187,1376,0.857142857,160.2857143,390,550.2857143,-433,-825.7142857,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU009,28,40335.68,1440.56,0,Lighting,Ceiling Light,14-05-2024,1101.46,1496.38,50,12,Winter,0,,145,740,14,470,465,116.25,885,2,232.5,470,702.5,-320,-182.5,0,0,0,Low,Low,Healthy,0,0,0,0,0
12-12-2025,SKU010,16,77008.32,4813.02,0,Bedding,Bedsheet,11-11-2024,2947.45,4854.08,50,12,Winter,0,,322,0,17,294,304,76,322,2.428571429,184.5714286,294,478.5714286,18,156.5714286,18,32.71641791,5.921052632,Medium,Low,Watch / Volatile,157,18,462749.65,53054.1,0
