date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
04-01-2024,SKU092,240,0,10,116
05-01-2024,SKU077,324,0,17,294
05-01-2024,SKU092,232,0,10,116
06-01-2024,SKU063,669,0,10,329
06-01-2024,SKU077,307,0,17,294
06-01-2024,SKU092,223,0,10,116
07-01-2024,SKU063,642,0,10,329
07-01-2024,SKU077,289,400,17,294
07-01-2024,SKU092,213,0,10,116
08-01-2024,SKU063,621,0,10,329
08-01-2024,SKU077,272,400,17,294
08-01-2024,SKU092,206,0,10,116
09-01-2024,SKU019,182,255,19,205
09-01-2024,SKU051,1273,0,15,726
09-01-2024,SKU063,599,0,10,329
09-01-2024,SKU077,259,400,17,294
09-01-2024,SKU092,195,0,10,116
10-01-2024,SKU019,174,255,19,205
10-01-2024,SKU051,1235,0,15,726
10-01-2024,SKU063,573,0,10,329
10-01-2024,SKU077,244,400,17,294
10-01-2024,SKU092,189,0,10,116
11-01-2024,SKU019,165,255,19,205
11-01-2024,SKU051,1205,0,15,726
11-01-2024,SKU063,550,0,10,329
11-01-2024,SKU077,231,400,17,294
11-01-2024,SKU092,181,0,10,116
12-01-2024,SKU019,156,255,19,205
12-01-2024,SKU051,1158,0,15,726
12-01-2024,SKU063,520,0,10,329
12-01-2024,SKU077,217,400,17,294
12-01-2024,SKU092,172,0,10,116
13-01-2024,SKU019,146,255,19,205
13-01-2024,SKU051,1114,0,15,726
13-01-2024,SKU063,493,0,10,329
13-01-2024,SKU077,197,400,17,294
13-01-2024,SKU092,162,0,10,116
14-01-2024,SKU019,133,255,19,205
14-01-2024,SKU051,1075,0,15,726
14-01-2024,SKU063,467,0,10,329
14-01-2024,SKU077,183,400,17,294
14-01-2024,SKU092,152,0,10,116
15-01-2024,SKU019,124,255,19,205
15-01-2024,SKU051,1039,0,15,726
15-01-2024,SKU063,441,0,10,329
15-01-2024,SKU077,167,400,17,294
15-01-2024,SKU092,143,0,10,116
16-01-2024,SKU019,117,255,19,205
16-01-2024,SKU051,998,0,15,726
16-01-2024,SKU063,419,0,10,329
16-01-2024,SKU077,156,400,17,294
16-01-2024,SKU092,134,0,10,116
17-01-2024,SKU019,107,255,19,205
17-01-2024,SKU051,951,0,15,726
17-01-2024,SKU062,711,0,6,328
17-01-2024,SKU063,399,0,10,329
17-01-2024,SKU077,141,400,17,294
17-01-2024,SKU092,124,0,10,116
18-01-2024,SKU019,98,255,19,205
18-01-2024,SKU051,905,0,15,726
18-01-2024,SKU062,677,0,6,328
18-01-2024,SKU063,369,0,10,329
18-01-2024,SKU077,124,400,17,294
18-01-2024,SKU092,118,0,10,116
19-01-2024,SKU019,89,255,19,205
19-01-2024,SKU051,865,0,15,726
19-01-2024,SKU062,644,0,6,328
19-01-2024,SKU063,348,0,10,329
19-01-2024,SKU077,108,400,17,294
19-01-2024,SKU092,108,230,10,116
20-01-2024,SKU019,76,255,19,205
20-01-2024,SKU051,828,0,15,726
20-01-2024,SKU062,604,0,6,328
20-01-2024,SKU063,323,656,10,329
20-01-2024,SKU077,91,400,17,294
20-01-2024,SKU092,97,230,10,116
21-01-2024,SKU019,66,255,19,205
21-01-2024,SKU051,779,0,15,726
21-01-2024,SKU062,572,0,6,328
21-01-2024,SKU063,291,656,10,329
21-01-2024,SKU077,74,400,17,294
21-01-2024,SKU092,87,230,10,116
22-01-2024,SKU019,55,255,19,205
22-01-2024,SKU051,743,0,15,726
22-01-2024,SKU058,529,0,18,307
22-01-2024,SKU062,548,0,6,328
22-01-2024,SKU063,267,656,10,329
22-01-2024,SKU077,59,400,17,294
22-01-2024,SKU092,76,230,10,116
23-01-2024,SKU019,46,255,19,205
23-01-2024,SKU051,714,1087,15,726
23-01-2024,SKU058,513,0,18,307
23-01-2024,SKU062,510,0,6,328
23-01-2024,SKU063,239,656,10,329
23-01-2024,SKU077,42,400,17,294
23-01-2024,SKU092,69,230,10,116
24-01-2024,SKU019,38,255,19,205
24-01-2024,SKU051,672,1087,15,726
24-01-2024,SKU058,498,0,18,307
24-01-2024,SKU062,472,0,6,328
24-01-2024,SKU063,217,656,10,329
24-01-2024,SKU077,424,0,17,294
24-01-2024,SKU092,61,230,10,116
25-01-2024,SKU019,30,255,19,205
25-01-2024,SKU051,636,1087,15,726
25-01-2024,SKU058,488,0,18,307
25-01-2024,SKU062,440,0,6,328
25-01-2024,SKU063,193,656,10,329
25-01-2024,SKU077,412,0,17,294
25-01-2024,SKU092,55,230,10,116
